biogrid_id,entrez_a,entrez_b,gene_a,gene_b,in_glycolysis_a,in_glycolysis_b,interaction_pair
663,54464,226,XRN1,ALDOA,0,1,226 :: 54464
6722,2645,5208,GCK,PFKFB2,1,1,2645 :: 5208
24336,5528,9464,PPP2R5D,HAND2,1,0,5528 :: 9464
119585,3099,29979,HK2,UBQLN1,1,0,29979 :: 3099
119810,5515,9319,PPP2CA,TRIP13,1,0,5515 :: 9319
120129,5528,8500,PPP2R5D,PPFIA1,1,0,5528 :: 8500
120551,5211,83755,PFKL,KRTAP4-12,1,0,5211 :: 83755
241615,8428,5518,STK24,PPP2R1A,0,1,5518 :: 8428
241754,4163,5518,MCC,PPP2R1A,0,1,4163 :: 5518
241901,8428,5516,STK24,PPP2CB,0,1,5516 :: 8428
242343,5531,5518,PPP4C,PPP2R1A,0,1,5518 :: 5531
242513,2597,84074,GAPDH,QRICH2,1,0,2597 :: 84074
242566,4163,5214,MCC,PFKP,0,1,4163 :: 5214
242607,5531,5516,PPP4C,PPP2CB,0,1,5516 :: 5531
242727,8453,5209,CUL2,PFKFB3,0,1,5209 :: 8453
242741,2597,7295,GAPDH,TXN,1,0,2597 :: 7295
242890,9641,5518,IKBKE,PPP2R1A,0,1,5518 :: 9641
242957,4913,26330,NTHL1,GAPDHS,0,1,26330 :: 4913
243071,56998,5518,CTNNBIP1,PPP2R1A,0,1,5518 :: 56998
245243,2175,226,FANCA,ALDOA,0,1,2175 :: 226
245247,2175,2023,FANCA,ENO1,0,1,2023 :: 2175
252900,5528,9421,PPP2R5D,HAND1,1,0,5528 :: 9421
255733,5515,6904,PPP2CA,TBCD,1,0,5515 :: 6904
255735,402,5515,ARL2,PPP2CA,0,1,402 :: 5515
255736,402,5516,ARL2,PPP2CB,0,1,402 :: 5516
255738,402,5528,ARL2,PPP2R5D,0,1,402 :: 5528
255860,5451,2597,POU2F1,GAPDH,0,1,2597 :: 5451
255861,5452,2597,POU2F2,GAPDH,0,1,2597 :: 5452
255865,2597,10963,GAPDH,STIP1,1,0,10963 :: 2597
255866,2597,4863,GAPDH,NPAT,1,0,2597 :: 4863
256251,10971,5208,YWHAQ,PFKFB2,0,1,10971 :: 5208
258757,5338,2597,PLD2,GAPDH,0,1,2597 :: 5338
259619,5581,3099,PRKCE,HK2,0,1,3099 :: 5581
259747,50617,5213,ATP6V0A4,PFKM,0,1,50617 :: 5213
268322,3195,5515,TLX1,PPP2CA,0,1,3195 :: 5515
268323,3195,5516,TLX1,PPP2CB,0,1,3195 :: 5516
269329,379,5223,ARL4D,PGAM1,0,1,379 :: 5223
269462,57062,7167,DDX24,TPI1,0,1,57062 :: 7167
269507,2026,57827,ENO2,C6orf47,1,0,2026 :: 57827
269508,2026,3297,ENO2,HSF1,1,0,2026 :: 3297
269509,2026,27190,ENO2,IL17B,1,0,2026 :: 27190
269510,2026,374291,ENO2,NDUFS7,1,0,2026 :: 374291
269511,2026,6483,ENO2,ST3GAL2,1,0,2026 :: 6483
269512,2026,59307,ENO2,SIGIRR,1,0,2026 :: 59307
269513,2026,11065,ENO2,UBE2C,1,0,11065 :: 2026
269647,51477,5515,ISYNA1,PPP2CA,0,1,51477 :: 5515
269748,64949,5515,MRPS26,PPP2CA,0,1,5515 :: 64949
269803,5223,2547,PGAM1,XRCC6,1,0,2547 :: 5223
270120,10425,5518,ARIH2,PPP2R1A,0,1,10425 :: 5518
270305,2026,311,ENO2,ANXA11,1,0,2026 :: 311
270306,2026,2029,ENO2,ENSA,1,0,2026 :: 2029
270307,2026,22927,ENO2,HABP4,1,0,2026 :: 22927
270308,2026,4134,ENO2,MAP4,1,0,2026 :: 4134
270615,5211,10980,PFKL,COPS6,1,0,10980 :: 5211
270730,10073,2026,SNUPN,ENO2,0,1,10073 :: 2026
270877,7167,9869,TPI1,SETDB1,1,0,7167 :: 9869
271075,2026,26151,ENO2,NAT9,1,0,2026 :: 26151
271076,2026,3098,ENO2,HK1,1,1,2026 :: 3098
271077,2026,7277,ENO2,TUBA4A,1,0,2026 :: 7277
271129,10542,2597,LAMTOR5,GAPDH,0,1,10542 :: 2597
271288,5052,2597,PRDX1,GAPDH,0,1,2597 :: 5052
271484,54622,2597,ARL15,GAPDH,0,1,2597 :: 54622
271502,55643,2597,BTBD2,GAPDH,0,1,2597 :: 55643
271580,3910,2597,LAMA4,GAPDH,0,1,2597 :: 3910
271608,5050,2597,PAFAH1B3,GAPDH,0,1,2597 :: 5050
271615,56144,2597,PCDHA4,GAPDH,0,1,2597 :: 56144
271625,5515,5764,PPP2CA,PTN,1,0,5515 :: 5764
271629,5717,2597,PSMD11,GAPDH,0,1,2597 :: 5717
271669,5272,2597,SERPINB9,GAPDH,0,1,2597 :: 5272
271698,7083,2597,TK1,GAPDH,0,1,2597 :: 7083
271785,6118,2597,RPA2,GAPDH,0,1,2597 :: 6118
275138,1452,5515,CSNK1A1,PPP2CA,0,1,1452 :: 5515
275868,5515,5495,PPP2CA,PPM1B,1,0,5495 :: 5515
275869,5515,1017,PPP2CA,CDK2,1,0,1017 :: 5515
275870,5515,1021,PPP2CA,CDK6,1,0,1021 :: 5515
276015,5515,2107,PPP2CA,ETF1,1,0,2107 :: 5515
276336,5970,5515,RELA,PPP2CA,0,1,5515 :: 5970
276337,5970,5516,RELA,PPP2CB,0,1,5516 :: 5970
277050,2023,5340,ENO1,PLG,1,0,2023 :: 5340
279587,5515,901,PPP2CA,CCNG2,1,0,5515 :: 901
280110,5515,5527,PPP2CA,PPP2R5C,1,0,5515 :: 5527
280111,5515,5829,PPP2CA,PXN,1,0,5515 :: 5829
280383,5515,5523,PPP2CA,PPP2R3A,1,0,5515 :: 5523
280440,5520,5515,PPP2R2A,PPP2CA,0,1,5515 :: 5520
280441,5520,5519,PPP2R2A,PPP2R1B,0,1,5519 :: 5520
281141,5313,9493,PKLR,KIF23,1,0,5313 :: 9493
281428,5313,5829,PKLR,PXN,1,0,5313 :: 5829
281430,5313,5058,PKLR,PAK1,1,0,5058 :: 5313
286496,7439,5515,BEST1,PPP2CA,0,1,5515 :: 7439
288505,5531,5528,PPP4C,PPP2R5D,0,1,5528 :: 5531
288514,83992,5518,CTTNBP2,PPP2R1A,0,1,5518 :: 83992
288515,83992,5515,CTTNBP2,PPP2CA,0,1,5515 :: 83992
288531,55917,5518,CTTNBP2NL,PPP2R1A,0,1,5518 :: 55917
288532,55917,5515,CTTNBP2NL,PPP2CA,0,1,5515 :: 55917
288536,55917,5519,CTTNBP2NL,PPP2R1B,0,1,5519 :: 55917
288542,85369,5518,STRIP1,PPP2R1A,0,1,5518 :: 85369
288543,85369,5515,STRIP1,PPP2CA,0,1,5515 :: 85369
288555,25843,5518,MOB4,PPP2R1A,0,1,25843 :: 5518
288556,25843,5515,MOB4,PPP2CA,0,1,25843 :: 5515
288561,25843,5519,MOB4,PPP2R1B,0,1,25843 :: 5519
288579,11235,5518,PDCD10,PPP2R1A,0,1,11235 :: 5518
288580,11235,5515,PDCD10,PPP2CA,0,1,11235 :: 5515
288585,11235,5519,PDCD10,PPP2R1B,0,1,11235 :: 5519
288594,5515,5518,PPP2CA,PPP2R1A,1,1,5515 :: 5518
288596,5515,6801,PPP2CA,STRN,1,0,5515 :: 6801
288598,5515,29966,PPP2CA,STRN3,1,0,29966 :: 5515
288599,5515,5528,PPP2CA,PPP2R5D,1,1,5515 :: 5528
288600,5515,5519,PPP2CA,PPP2R1B,1,1,5515 :: 5519
288601,5515,29888,PPP2CA,STRN4,1,0,29888 :: 5515
288603,5515,55844,PPP2CA,PPP2R2D,1,0,5515 :: 55844
288605,5515,51400,PPP2CA,PPME1,1,0,51400 :: 5515
288607,5515,5529,PPP2CA,PPP2R5E,1,0,5515 :: 5529
288608,5515,8500,PPP2CA,PPFIA1,1,0,5515 :: 8500
288610,5515,10576,PPP2CA,CCT2,1,0,10576 :: 5515
288611,5515,10694,PPP2CA,CCT8,1,0,10694 :: 5515
288613,5515,7203,PPP2CA,CCT3,1,0,5515 :: 7203
288614,5515,6950,PPP2CA,TCP1,1,0,5515 :: 6950
288615,5515,22948,PPP2CA,CCT5,1,0,22948 :: 5515
288616,5515,908,PPP2CA,CCT6A,1,0,5515 :: 908
288617,5515,10574,PPP2CA,CCT7,1,0,10574 :: 5515
288618,5515,8541,PPP2CA,PPFIA3,1,0,5515 :: 8541
288619,5515,5525,PPP2CA,PPP2R5A,1,0,5515 :: 5525
